分类,题干,A,B,C,D,E,正确答案,解析
临床科目,临床上哺乳动物体温⼀般是测定（ ）。,⾓温,腋下温度,⼜腔温度,股内侧温度,直肠温度,E,"标准答案：E
出处：押题1.pdf
解析：临诊测量哺乳动物体温均以直肠温度为标准，禽类通常测量其翼下温度，⼩动物可测量腋下和股内
侧温度。"
临床科目,肾功能检查的主要指标不包括（ ）。,肌酐,尿蛋⽩/肌酐⽐率,⾎氨,胆红素,尿素,D,"标准答案：D
出处：押题1.pdf
解析：临诊上常⽤的肾功能指标包括：尿素、肌酐、⾎氨、尿酸、尿蛋⽩/肌酐⽐率、肾⼩球功能检测等。"
临床科目,⽜可视黏膜苍⽩可见于（ ）。,⼼⼒衰竭,胆管堵塞,CO中毒,氢氰酸中毒,贫⾎,E,"标准答案：E
出处：押题1.pdf
解析：动物⽪肤颜⾊可呈现苍⽩、黄染、发绀和潮红等变化，不同颜⾊的变化具有不同的临诊意义：潮红
是充⾎的象征；苍⽩是贫⾎的象征；发绀是缺氧的象征；黄染是⾎液中胆红素含量升⾼的标志。"
临床科目,下列哪⼀项不属于听诊检查内容？（ ）,动物肺泡呼吸⾳的检查,动物胃肠蠕动情况的检查,动物⽀⽓管呼吸⾳的检查,动物膈肌痉挛⾳的检查,动物⼼⾳状态的检查,D,"标准答案：D
出处：押题1.pdf
解析：听诊的应⽤范围很⼴，包括直接听取动物的嘶鸣、狂吠、呻吟、喘息、咳嗽、喷嚏、嗳⽓、咀嚼、
运步等声⾳及⾼朗的肠鸣⾳等。现代听诊法主要⽤于检查：⼼⾎管系统，呼吸系统，消化系统，胎
⼼⾳和胎动⾳等。膈肌痉挛⾳不能通过听诊检查。"
临床科目,不需要进⾏直肠检查的是（ ）。,⽜泌尿器官疾病,马属动物腹膜疾病,马属动物腹痛性疾病,⽜的发热性疾病,⽜的妊娠诊断,D,"标准答案：D
出处：押题1.pdf
解析：直肠检查法是指对⼤动物，以⼿伸⼊直肠并经肠壁⽽间接地对盆腔器官及后部腹腔器官进⾏检查的
⽅法。⽤于腹痛性疾病诊断、腹膜疾病诊断、发情鉴定、妊娠诊断以及疝痛、母畜⽣殖器官及泌尿
器官疾病的诊断。D项，发热性疾病通过测量体温即可诊断，具体病因鉴别还需借助实验室检查结
果。"
临床科目,黄⽜的呼吸次数是（ ）。,20～30次/分,30～40次/分,10～25次/分,30～50次/分,5～20次/分,C,"标准答案：C
出处：押题1.pdf
解析：乳⽜和黄⽜的呼吸频率为10～25次/分。"
临床科目,呈⾳调低、⾳响较强、⾳时较长的叩诊⾳是（ ）。,实⾳,⿎⾳,浊⾳,过清⾳,清⾳,E,"标准答案：E
出处：押题1.pdf
解析：清⾳是⼀种⾳调低、⾳响较强、⾳时较长的叩诊⾳，在叩击富弹性含⽓的器官时产⽣，见于正常肺
脏区域。"
临床科目,下列哪⼀项指标不能作为肝功能检验的指标？（ ）,⾕氨酰转移酶,碱性磷酸酶,丙氨酸氨基转移酶,肌酸激酶,天门冬氨酸氨基转移酶,D,"标准答案：D
出处：押题1.pdf
解析：肌酸激酶是⼼肌损害的特异性指标之⼀。"
临床科目,属于⼼脏收缩期的⾮器质性杂⾳是（ ）。,⼼包拍⽔⾳,连续性杂⾳,⼼包摩擦⾳,⼼肺性杂⾳,贫⾎性杂⾳,E,"标准答案：E
出处：押题1.pdf
解析：⼼脏杂⾳是⼼⾳以外持续时间较长的附加声⾳。按杂⾳发⽣部位分为⼼内杂⾳和⼼外杂⾳；按杂⾳
发⽣原因分为器质性杂⾳和⾮器质性杂⾳。⾮器质性杂⾳均发⽣在收缩期，包括相对闭锁不全性杂
⾳和贫⾎性杂⾳。ABCD四项，均属于器质性杂⾳。"
临床科目,治疗⽜急性瘤胃臌⽓时，瘤胃穿刺放⽓的正确做法是于（ ）。,右腹壁中1/3刺⼊瘤胃腔,左腹壁下1/3刺⼊瘤胃腔,右肷部刺⼊瘤胃腔,左腹壁中1/3处刺⼊瘤胃腔,左肷部刺⼊瘤胃腔,E,"标准答案：E
出处：押题1.pdf
解析：瘤胃穿刺适⽤于急救、采内容物、注药，部位在左肷窝部膨胀最明显处。⽤于瘤胃放⽓时，取腹部
最⾼点或左肷部上缘；⽤于瘤胃液采集或给药时，取左肷部三⾓区下缘。"
临床科目,触压有捻发⾳的体表肿胀是（ ）。,淋巴外渗,⾎肿,⽪下浮肿,⽪下⽓肿,炎性肿胀,D,"标准答案：D
出处：押题1.pdf
解析：AB两项，淋巴外渗和⾎肿触压有波动感；C项，⽪下浮肿即⽪下组织⽔肿触压有捏粉感；D项，⽪
下⽓肿触压时柔软⽽容易变形，可感觉到由于⽓泡破裂和移动所产⽣的捻发⾳（沙沙声）；E项，炎
性肿胀表现为红、肿、热、痛与机能障碍。"
临床科目,临床上贫⾎的类型包括（ ）。,营养性贫⾎,再⽣障碍性贫⾎,溶⾎性贫⾎,出⾎性贫⾎,以上都是,E,"标准答案：E
出处：押题1.pdf
解析：按贫⾎的原因可分为溶⾎性贫⾎、营养性贫⾎、出⾎性贫⾎、再⽣障碍性贫⾎。"
临床科目,发⽣⽜瓣胃阻塞，排便特征为（ ）。,⼲⽽多,稀⽽多,⼲⽽少,⽆变化,稀⽽少,C,"标准答案：C
出处：押题1.pdf
解析：瓣胃阻塞初期粪便⼲少，⾊暗成球，算盘珠样，表⾯附有黏液，粪内含有多量未消化的饲料和粗长
的纤维；后期排粪停⽌。"
临床科目,治疗奶⽜产后⾎红蛋⽩尿病的注射药物是（ ）。,磷酸氢⼆钾,磷酸⼆氢钠,磷酸⼆氢钾,磷酸氢⼆钠,磷酸钙,B,"标准答案：B
出处：押题1.pdf
解析：奶⽜产后⾎红蛋⽩尿病的治疗原则是消除病因和纠正低磷酸盐⾎症。常⽤的磷制剂主要是20%磷酸
⼆氢钠，每头⽜300～500mL，静脉注射，12h后重复使⽤⼀次，⼀般在注射1～2次红尿可消失，重
症病例可连续治疗2～3次。切勿使⽤磷酸氢⼆钠、磷酸氢⼆钾或磷酸⼆氢钾。"
临床科目,⽀⽓管炎初期的主要症状是（ ）。,持续性咳嗽,连续不断流⿐液,⼲、短、带痛的咳嗽,刺激性咳嗽,连续不断地咳嗽,C,"标准答案：C
出处：押题1.pdf
解析：急性⽀⽓管炎主要的症状是咳嗽。在疾病初期，表现⼲、短和疼痛咳嗽，随着炎性渗出物的增多，
可变为湿⽽长的咳嗽。"
临床科目,治疗成年奶⽜前胃弛缓，⼀次性静脉注射10%CaCl2的常⽤剂量为（ ）。,100～200mL,300～400mL,50～100mL,500mL以上,30～50mL,A,"标准答案：A
出处：押题1.pdf
解析：原发性前胃弛缓，若是由于⾎钙⽔平低引起的，可⽤10%氯化钠液100～200mL，10%氯化钙液100～
200mL，20%安钠咖液10mL，静脉注射，对提⾼⾎钙，促进前胃运动机能具有良好效果。"
临床科目,蛋鸡脂肪肝综合征原因较复杂，但下述所列中，与之发⽣⽆关的是（ ）。,能量物质供给太多,胆碱缺乏,粗纤维饲料供给过多,饲料发霉变质,维⽣素E缺乏,C,"标准答案：C
出处：押题1.pdf
解析：ABDE四项，饲料因素，长期饲喂⾼能低蛋⽩⽇粮、⾼蛋⽩低能⽇粮以及胆碱、含硫氨基酸，维⽣素
B和维⽣素E缺乏等都会导致蛋鸡脂肪肝综合征。C项，粗纤维饲料供给过多与之发⽣⽆关。"
临床科目,临床症状以喉部疼痛、剧烈咳嗽为主，提⽰最常见的疾病是（ ）。,喉炎,⼤叶性肺炎,胸膜炎,⽀⽓管肺炎,⽓管炎,A,"标准答案：A
出处：押题1.pdf
解析：喉炎是喉黏膜及黏膜下层组织的炎症。临诊上以剧烈咳嗽，喉部疼痛，敏感，肿胀为特征。"
临床科目,解救筒箭毒碱中毒的药物是（ ）。,解磷定,阿托品,氨甲酰胆碱,⽑果芸⾹碱,新斯的明,E,"标准答案：E
出处：押题1.pdf
解析：新斯的明临诊上适⽤于重症肌⽆⼒，竞争性神经肌⾁阻滞药、箭毒过量中毒，腹⽓胀和尿潴留，
⽜、⽺前胃弛缓或马肠道弛缓，⼦宫收缩⽆⼒和胎⾐不下等。A项，解磷定为胆碱酯酶复活剂，⽤于
有机磷酸酯类中毒的解毒剂；B项，阿托品为M胆碱受体阻断药，主要⽤于⿇醉前给药，缓解平滑肌
痉挛，有机磷酸酯类中毒解毒等；C项，氨甲酰胆碱为⾻骼肌松弛药；D项，⽑果芸⾹碱为胆碱受体
激动药，主要⽤于胃肠弛缓、前胃弛缓、不完全阻塞性肠便秘等患畜。"
临床科目,佝偻病发⽣的主要原因是（ ）。,维⽣素B 1缺乏,维⽣素B 2缺乏,维⽣素D缺乏,维⽣素E缺乏,维⽣素A缺乏,C,"标准答案：C
出处：押题1.pdf
解析：佝偻病是在⽣长期的幼畜或幼禽由于维⽣素D及钙、磷缺乏或饲料中钙、磷⽐例失调所致的⼀种⾻营
养不良性代谢病，病理特征是⽣长⾻的钙化作⽤不⾜，并伴有持久性软⾻肥⼤与⾻骺增⼤。"
临床科目,急性有机氟中毒，主要症状类型包括（ ）。,肝脏型和⼼脏型,神经型和⼼脏型,肝脏型和肾脏型,神经型和肝脏型,神经型和胃肠型,B,"标准答案：B
出处：押题1.pdf
解析：有机氟急性中毒时，出现中枢神经系统障碍（神经型）和⼼⾎管系统障碍（⼼脏型）为主的两⼤症
候群。"
临床科目,羔⽺摆（晃）腰病的主要致病原因是⽇粮中缺乏（ ）。,钼,硒,铜,锌,碘,C,"标准答案：C
出处：押题1.pdf
解析：铜缺乏症是由动物体内铜不⾜⽽引起的⼀种营养缺乏病。临诊上以贫⾎、腹泻、被⽑褪⾊、共济失
调为特征。各种动物均可发⽣，但主要发⽣在⽜、⽺、⿅、骆驼等反刍动物。铜缺乏症曾被称为⽜
的癫痫病或摔倒病、羔⽺晃腰病、⽺痢疾、舔（盐）病、骆驼摇摆病等。"
临床科目,猪亚硝酸盐中毒的特效解毒药是（ ）。,葡萄糖,甲苯胺蓝,碳酸氢钠,阿托品,硫代硫酸钠,B,"标准答案：B
出处：押题1.pdf"
临床科目,动物受到应激原刺激后可引起（ ）。,超氧化物歧化酶活性升⾼,⾕胱⽢肽过氧化物酶活性升⾼,⾎糖升⾼,过氧化氢酶活性升⾼,免疫⼒升⾼,C,"标准答案：C
出处：押题1.pdf"
临床科目,关于慢性淋巴结炎，下列说法哪项正确？（ ）,急性淋巴结炎的早期表现,淋巴细胞⼤量增⽣,淋巴细胞坏死,窦卡他,淋巴结充⾎,B,"标准答案：B
出处：押题1.pdf
解析：慢性淋巴结炎是由病原因素反复或持续作⽤所引起的以细胞或结缔组织显著增⽣为主要表现的淋巴
结炎，通常见于慢性经过的传染病，或由急性淋巴结炎转变⽽来。慢性淋巴结炎的镜检病变是淋巴
⼩结增⼤、增多，并具有明显的⽣发中⼼。⽪质、髓质界限消失，淋巴窦也被增⽣的淋巴组织挤压
或占据，淋巴细胞弥漫地分布于整个淋巴结。在淋巴细胞之间也可见巨噬细胞有不同程度的增⽣。"
临床科目,胸壁透创的并发症不包括（ ）。,脓胸,胸膜炎,⾎胸,⼼包炎,⽓胸,D,"标准答案：D
出处：押题1.pdf
解析：胸壁透创的并发症包括：①⽓胸：a．闭合性⽓胸；b．开放性⽓胸；c．张⼒性⽓胸。②⾎胸。③脓
胸。④胸膜炎。"
临床科目,临床上⽝去势术的常⽤切⼜部位是（ ）。,阴囊基部前⽅纵切⼜,阴囊基部后⽅纵切⼜,阴囊底部横切⼜,阴囊中部纵切⼜,阴囊底部纵切⼜,A,"标准答案：A
出处：押题1.pdf
解析：⽝去势术经术部剃⽑、消毒、隔离后，在阴囊基部前⽅纵向切开⽪肤与⽪下组织，其切⼜长度视⼀
侧睾丸能从此处挤出为宜。"
临床科目,创伤第⼀期愈合的临床特点是（ ）。,瘢痕组织多,炎症反应轻微,感染严重,愈合时间长,创缘不整,B,"标准答案：B
出处：押题1.pdf
解析：第⼀期愈合是⼀种较为理想的愈合形式。其特点是创缘、创壁整齐，创⼜吻合良好，⽆⾁眼可见的
组织间隙，炎症反应较轻微。"
临床科目,母⽝膀胱⼿术常⽤的腹壁切⼜部位是（ ）。,脐前腹中线切⼜,耻前腹中线切⼜,肋⼸后斜切⼜,脐前中线旁切⼜,肷部前切⼜,B,"标准答案：B
出处：押题1.pdf
解析：⽝膀胱切开术中，雌⽝从耻⾻前缘向前在腹⽩线上切开5～10cm，雄⽝在阴茎旁2～3cm作腹中线的
平⾏切⼜5～10cm。"
临床科目,猫剖腹产术后缝合⼦宫时第⼀道缝合拟采⽤（ ）。,库兴⽒缝合,伦勃特⽒缝合,连续缝合,钮孔状缝合,结节缝合,A,"标准答案：A
出处：押题1.pdf
解析：胎⼉取出后，仔细检查⼦宫⾓和⼦宫体确实⽆胎⼉时缝合⼦宫。⽤可吸收缝线作两道缝合，第⼀道
⽤库兴⽒缝合法，第⼆道为伦勃特⽒缝合法。"
临床科目,常⽤的洗眼液为（ ）。,2%苯扎溴铵,2%过氧⼄酸,2%煤酚皂,2%⾼锰酸钾,2%硼酸,E,"标准答案：E
出处：押题1.pdf
解析：对动物的患眼进⾏治疗前，必须先将2%硼酸溶液或⽣理盐⽔装⼊医⽤洗眼壶内冲洗患眼。AC两项，
2%煤酚皂、2%苯扎溴铵可⽤于环境及⽪肤消毒。B项，过氧⼄酸多⽤于⽆菌室等消毒。D项，⾼锰
酸钾溶液常⽤于黏膜组织消毒但浓度为0.1%。前四种消毒液均不能⽤于眼部冲洗与消毒。"
临床科目,临床上常见的家畜特殊跛⾏主要有（ ）。,紧张步样,鸡跛,黏着步样,间歇性跛⾏,以上都是,E,"标准答案：E
出处：押题1.pdf
解析：临诊上以其⾃⾝独特状态命名的特殊跛⾏包括：①间歇性跛⾏，主要病原包括动脉栓塞、习惯性脱
位、关节⽯；②黏着步样；③紧张步样；④鸡跛。"
临床科目,下列不是引起坏死和坏疽主要原因的是（ ）。,烧伤，冻伤，腐蚀性药品等引起的损伤,坏死杆菌感染,持续性压迫,维⽣素不⾜,外伤,D,"标准答案：D
出处：押题1.pdf
解析：引起坏死和坏疽的主要原因包括：①外伤：严重的组织挫灭、局部的动脉损伤等。②持续性的压迫
如褥疮、鞍伤、绷带的压迫、顿性疝、肠捻转等。③物理、化学性因素见于烧伤、冻伤、腐蚀性药
品及电击、放射线、超声波等引起的损伤。④细菌及毒物性因素多见于坏死杆菌感染、毒蛇咬伤
等。⑤其他⾎管病变引起的栓塞、中毒及神经机能障碍等。"
临床科目,蹄部⼿术前脚浴应选⽤的消毒液是（ ）。,2%～4%硼酸溶液,70%酒精,2%煤酚皂溶液,0.1%⾼锰酸钾,0.1%的苯扎溴铵,C,"标准答案：C
出处：押题1.pdf
解析：A项，眼结膜多⽤2%～4%硼酸溶液消毒；B项，术部⽪肤的消毒，常⽤药物是5%碘酊、2%碘酊（⽤
于⼩动物）和70%酒精。C项，蹄部⼿术应在⼿术前⽤2%的煤酚皂温溶液蹄浴；DE两项，0.1%苯扎
溴铵、0.1%⾼锰酸解溶液可⽤于⼜腔、⿐腔、阴道、肛门等处黏膜的消毒。"
临床科目,关于脐疝的叙述，下列不正确的是（ ）。,病初多能在挤压疝囊或改变体位时疝内容物还纳到腹腔,听诊时可听到肠蠕动⾳,局部出现红、痛、热等炎性反应,犊⽜的脐疝⼀般有拳头⼤⼩可发展⼩⼉头⼤⼩，甚⾄更⼤,脐部呈现局限性球形肿胀，质地柔软,C,"标准答案：C
出处：押题1.pdf
解析：脐疝症状：脐部呈现局限性球形肿胀，质地柔软，也有的紧张，但缺乏红、痛、热等炎性反应。"
临床科目,马的关节捩伤最常发⽣于（ ）。,膝关节,肩关节,跗关节,髋关节,系关节,E,"标准答案：E
出处：押题1.pdf
解析：关节捩伤是指关节在突然受到间接的机械外⼒作⽤下，超越了⽣理活动范围（瞬时间的过度伸展、
屈曲或扭转）⽽发⽣的关节损伤。此病是马、骡常见和多发的关节病，最常发⽣于系关节和冠关
节，其次是跗、膝关节。⽜关节捩伤常见于系关节和髋关节，其次是肩关节。"
临床科目,对放疗最敏感的⼩动物肿瘤是（ ）。,纤维瘤,⾻⾁瘤,脂肪瘤,恶性淋巴瘤,平滑肌瘤,D,"标准答案：D
出处：押题1.pdf
解析：临诊上对放疗最敏感的是造⾎淋巴系统和某些胚胎组织的肿瘤，如恶性淋巴瘤、⾻髓瘤、淋巴上⽪
癌等。中度敏感的有各种来⾃上⽪的癌肿，如⽪肤癌、⿐咽癌、肺癌。不敏感的有软组织⾁瘤、⾻
⾁瘤等。在兽医实践上，放疗对基底细胞瘤、会阴腺瘤、乳头状瘤等疗效也较好。"
临床科目,⼿术切除恶性肿瘤的正确做法是（ ）。,⼿术在健康组织内进⾏,禁⽌使⽤⾼频电⼑,禁⽌损伤健康组织,仅摘除肿瘤组织,可以随意翻动肿瘤,A,"标准答案：A
出处：押题1.pdf
解析：⼿术治疗的前提是肿瘤尚未扩散或转移，⼿术切除病灶，连同部分周围的健康组织，应注意切除附
近的淋巴结。为了避免因⼿术⽽带来癌细胞的扩散，应注意：①动作要轻⽽柔，切忌挤压和不必要
地翻动癌肿；②⼿术应在健康组织范围内进⾏，不要进⼊癌组织；③尽可能阻断癌细胞扩散的通路
（动、静脉与区域淋巴结），肠癌切除时要阻断癌瘤上、下段的肠腔；④尽可能将癌肿连同原发器
官和周围组织⼀次整块切除；⑤术中⽤纱布保护好癌肿和各层组织切⼜，避免种植性转移；⑥⾼频
电⼑、激光⼑切割，⽌⾎好可减少扩散；⑦对部分癌肿在术前、术中可⽤化学消毒液冲洗癌肿区。"
临床科目,下列药物可以⽤来做硬膜外⿇醉的是（ ）。,硫戊巴⽐妥钠,静松灵,戊巴⽐妥钠,利多卡因,对氨苯甲酸⼄酯,D,"标准答案：D
出处：押题1.pdf
解析：将局部⿇醉药注射到硬膜外腔，阻滞脊神经的传导，使其所⽀配的区域⽆痛⽽产⽣⿇醉，称为硬膜
外⿇醉。⼀般注射2%普鲁卡因溶液，剂量不超过10～15mL，或2%利多卡因溶液，剂量不超过5～
10mL。"
临床科目,⽜腹部⼿术⼀般选择的保定⽅式是（ ）。,⿐钳保定,前肢提举保定,站⽴保定,仰卧保定,倒卧保定,C,"标准答案：C
出处：押题1.pdf
解析：对⽜进⾏腹部⼿术，⼀般采⽤六柱栏站⽴保定，也可进⾏侧卧保定，侧卧的⽅向应根据实施⼿术的
部位决定。"
临床科目,⽜⽺发⽣胎⾐不下的主要原因是（ ）。,胎盘充⾎和⽔肿,胎盘未成熟,胎盘⽼化,胎盘组织结构,产后⼦宫收缩⽆⼒,D,"标准答案：D
出处：押题1.pdf
解析：⽜、⽺胎盘属于上⽪绒⽑膜与结缔组织绒⽑膜混合型，胎⼉胎盘与母体胎盘联系⽐较紧密，是胎⾐
不下多见于⽜、⽺的主要原因；马、猪的胎盘为上⽪绒⽑膜型胎盘，故胎⾐不下发⽣较少。"
临床科目,⾼产奶⽜⽣产瘫痪临床上主要表现为（ ）。,四肢瘫痪,⽪温降低,知觉丧失,全⾝肌⾁⽆⼒,以上都是,E,"标准答案：E
出处：押题1.pdf
解析：奶⽜⽣产瘫痪又称乳热症或奶⽜低钙⾎症，是奶⽜分娩前后突然发⽣的⼀种严重的代谢性疾病。其
特征是低⾎钙、全⾝肌⾁⽆⼒、知觉丧失及四肢瘫痪；该病开始时患⽜⿐镜⼲燥，四肢及⾝体末端
发凉，⽪温降低，脉搏则⽆明显变化。"
临床科目,新⽣仔猪低⾎糖症的典型症状不包括（ ）。,痉挛,衰竭,运动障碍,畏寒、震颤,衰弱⽆⼒,D,"标准答案：D
出处：押题1.pdf
解析：新⽣仔畜低糖⾎症是以⾎糖⽔平明显低下，⾎液⾮蛋⽩氮含量明显升⾼，临床表现衰弱乏⼒、运动
障碍、痉挛、衰竭等症状为特征的⼀种代谢性疾病。主要发⽣于⽣后1～4d的仔猪和⽝。"
临床科目,"进⾏⽜的胚胎移植技术，⼀般采⽤⾮⼿术冲洗⼦宫⽅法收集⼦宫内的桑葚胚和囊胚，采胚时间是
配种后（ ）。",72～96h,96～120h,48～72h,120～190h,24h,D,"标准答案：D
出处：押题1.pdf
解析：⼀般将配种当⽇定为0d，由配种后第2d开始计算采胚天数。根据采集⽬的不同，决定在第⼏天采
胚。由于动物种类不同，其早期胚胎的发育速度和到达⼦宫的时间也具有差异。就母⽜⽽⾔，⼀般
第1～4d可以由输卵管采到16细胞以前的胚，第5～8d可以由⼦宫采到桑葚胚和囊胚。"
临床科目,季节多次性发情的动物是（ ）。,猫,⽝,绵⽺,⽜,猪,C,"标准答案：C
出处：押题1.pdf
解析：根据发情周期的表现形式，可将动物分为三类：①单次发情动物，这类动物⼀年中只有⼀个发情周
期，如⽝和⼤多数野⽣动物；②多次发情动物，这类动物在⼀年中⼤部分时间都有发情周期循环，
如⽜和猪；③季节多次性发情动物，这类动物的发情局限在⼀年中特定的季节，在该季节又出现多
次发情，如马和绵⽺。"
临床科目,反刍动物早期妊娠识别是（ ）。,⾎液中有促性腺激素,胚胎滋养层分泌滋养层蛋⽩-1,⼦宫内有胎⼉,孕激素含量增加,卵巢有黄体,B,"标准答案：B
出处：押题1.pdf
解析：反刍动物妊娠早期黄体功能的维持，依赖于孕体多肽的合成和分泌，胚泡的存在对延长黄体的寿命
⾮常重要。妊娠识别主要是由于孕体的滋养外胚层和⼦宫之间的信号传导⽽引起。IFN-τ（又称滋养
层蛋⽩-1）是⽜、绵⽺、⼭⽺母体妊娠识别的信号，是反刍动物的抗溶黄因⼦。"
临床科目,下列决定母畜分娩过程是否正常的因素是（ ）。,胎⼉的数⽬,产⼒、产道、胎⼉状态,外界环境是否安静,怀孕期长短和胎次,母畜的营养,B,"标准答案：B
出处：押题1.pdf
解析：分娩过程是否正常，主要取决于三个因素，即产⼒、产道及胎⼉状态。如果这三个因素正常，能够
互相适应，分娩就顺利，否则可能造成难产。"
临床科目,⽜分娩时正常的胎位、胎向是（ ）。,侧位、纵向,上位、横向,下位、纵向,下位、横向,上位、纵向,E,"标准答案：E
出处：押题1.pdf"
临床科目,功效有某种共性的药物配合应⽤，辅药能增强主药的疗效，该配伍关系为（ ）。,相杀,相反,相恶,相使,相畏,D,"标准答案：D
出处：押题1.pdf
解析：相使即将性能功效有某种共性的不同类药物配合应⽤，⽽以⼀种药物为主、另⼀种药物为辅，能提
⾼主要药物的功效。"
临床科目,六淫之中，湿邪的主要特性与致病特点是（ ）。,重浊、黏滞,善⾏、主动,炎热、升散,热极、炎上,阴冷、凝滞,A,"标准答案：A
出处：押题1.pdf
解析：湿邪的性质与致病特性：①湿为阴邪，易损脾阳；②湿性重浊，其性趋下；③湿性黏滞，缠绵难
退；④湿性趋下，易袭阴位。"
临床科目,栀⼦的归经为（ ）。,⼼、肺、胆、膀胱经,⼼、肝、胃、肺经,⼼、胃、肝、胆经,⼼、胃、肺、膀胱经,⼼、肺、胃、三焦经,B,"标准答案：B
出处：押题1.pdf
解析：栀⼦性味苦，寒；⼊⼼、肝、肺、胃经。其功效为清热泻⽕，凉⾎解毒。本品有清热泻⽕的作⽤，
善清⼼、肝、三焦经之热。"
临床科目,临床上⽤于利尿消肿的常⽤⽅剂是（ ）。,橘⽪散,红花散,五苓散,乌梅散,独活散,C,"标准答案：C
出处：押题1.pdf
解析：五苓散的药物组成包括：猪苓、茯苓、泽泻、⽩术、桂枝。其功效为渗湿利⽔，温阳化⽓，和胃⽌
呕。该⽅为利尿消肿的常⽤⽅剂。A项，橘⽪散的功效为理⽓散寒，和⾎⽌痛；为理⽓⽅。B项，红
花散的功效为活⾎理⽓，清热散瘀；为活⾎祛瘀⽅。D项，乌梅散功能涩肠⽌泻，清热燥湿；主治幼
驹奶泻及其他幼畜的湿热下痢。E项，独活散的功效为疏风祛湿，活⾎⽌痛；为祛风湿⽅。"
临床科目,茵陈蒿汤的组成药物有（ ）,栀⼦、茵陈、黄柏,茵陈、麦芽、川楝⼦,茵陈、炮姜、附⼦,栀⼦、茵陈、⼤黄,茵陈、滑⽯、黄芩,D,"标准答案：D
出处：押题1.pdf
解析：茵陈蒿汤的组成药物包括：茵陈蒿、栀⼦、⼤黄。其功效为清热，利湿，退黄。主治湿热黄疸，症
见结膜、⼜⾊皆黄，鲜明如橘⾊，尿短⾚，苔黄腻，脉滑数等。"
临床科目,阴阳双⽅相互依存、互为根本，任何⼀⽅都不能脱离另⼀⽅⽽单独存在的关系为（ ）。,阴阳对⽴,阴阳转化,阴阳互根,阴阳关联,阴阳消长,C,"标准答案：C
出处：押题1.pdf
解析：阴阳互根，是指⼀切事物或现象中相互对⽴的阴阳两个⽅⾯，具有相互依存，互为根本的关系。即
阴和阳任何⼀⽅都不能脱离另⼀⽅⽽单独存在，每⼀⽅都以对⽴的另⼀⽅的存在作为⾃⼰存在的前
提和条件。"
临床科目,⾷积不化宜选⽤（ ）加减治疗。,银翘散,犀⾓地黄汤,平胃散,猪苓散,曲蘖散,E,"标准答案：E
出处：押题1.pdf
解析：曲蘖散的组成药物包括：神曲、麦芽、⼭楂、厚朴、枳壳、陈⽪、苍术、青⽪、⽢草。其功效为消
积化⾕，破⽓宽肠。A项，银翘散的功效为⾟凉解表，清热解毒；主治外感风热感冒或温病初起。B
项，犀⾓地黄汤的功效为清热解毒，凉⾎散瘀；主治温热病之⾎分证或热⼊⾎分，有热甚动⾎，热
扰⼼营见证者。C项，平胃散的功效为健脾燥湿，⾏⽓和胃，消胀除满；主治胃寒⾷少、寒湿困脾。
D项，猪苓散的功效为健脾利⽔；主治呕吐、膈上有停饮、吐后欲饮⽔。"
临床科目,“动极者镇之以静”说明的阴阳关系是（ ）。,消长,转化,互根,⽆限可分,对⽴,E,"标准答案：E
出处：押题1.pdf
解析：阴阳对⽴是指阴阳双⽅存在着相互排斥、相互⽃争、相互制约的关系，对⽴是阴阳最普遍的规律，
阴阳双⽅通过对⽴制约⽽取得平衡。“动极者镇之以静”中“动”是指⼈体的正常⽣理功能活动，“动极”
则是指⼈体⽣理功能活动的亢进，亢进就必然表现出⼀系列妄动的证候，根据医学运动平衡观，则
需采⽤“以静制动”的⽅法来施治。"
临床科目,在脏病传变中属“母病及⼦”的是（ ）。,⼼病及肾,⼼病及肝,⼼病及肺,肝病及肾,⼼病及脾,E,"标准答案：E
出处：押题1.pdf
解析：⼼属于⽕，脾属于⼟，⽕能⽣⼟，⼼病及脾的传变是沿五⾏相⽣顺序进⾏的，属于“母病及⼦”。"
临床科目,表现游⾛性疼痛，治疗需⽤（ ）。,散寒药,温⾥药,除湿药,清热药,祛风药,E,"标准答案：E
出处：押题1.pdf
解析：风性善⾏数变，故风邪所致疼痛表现为游⾛性疼痛，治疗应以祛风为主。"
临床科目,配伍时，与⼈参相反的药物有（ ）。,藜芦,⽢草,乌头,细⾟,⽩芍,A,"标准答案：A
出处：押题1.pdf
解析：“⼗⼋反”：乌头反贝母、⽠蒌、半夏、⽩蔹、⽩及；⽢草反⽢遂、⼤戟、海藻、芫花；藜芦反⼈
参、沙参、丹参、⽞参、细⾟、芍药。
⼆、临床科⽬——A2型题 （每⼀道考题是以⼀个⼩案例出现的，其下
⾯都有A、B、C、D、E五个备选答案。请从中选择⼀个最佳答案。）"
临床科目,⼀马，⽆尿，腹腔穿刺有⼤量尿液，该马所患病为（ ）。,肾炎,尿道狭窄,膀胱破裂,肾结⽯,膀胱炎,C,"标准答案：C
出处：押题1.pdf
解析：腹腔穿刺⽤于诊断胃肠等内脏破裂、出⾎、肠变位等；可利⽤穿刺液的检查判断是渗出液还是漏出
液；可经穿刺放出腹⽔或向腹腔内注⼊药液治疗某些疾病。膀胱破裂后尿液不断流⼊腹腔，故动物
表现⽆尿排出，腹腔穿刺多能抽出较多的黄⾊液体。"
